"Sale","Hip","Sire","Dam","Broodmare Sire","DOB","Area Foaled","Horse Name","Color","Sex","Breeders Cup Eligible","Covering Sire","Sold As","Consignor","Barn(s)","Session","Book","Out","Location"
"April 2021","0001","Twirling Candy","Speightstown Belle","Speightstown","02/13/2017","KY        ","Levelplayingfield","Dark Bay/Brown","Filly","Y","","Racing or Broodmare Prospect","ELiTE, Agent ","19","1","1","","Keeneland",
"April 2021","0002","Cinco Charlie","Cactus Cocktail","Cactus Ridge","02/15/2018","KY        ","Lichita","Chestnut","Filly","","","Racing or Broodmare Prospect","Buckland Sales (Zach Madden), Agent II ","18","1","1","","Keeneland",
"April 2021","0003","Galileo (IRE)","Look At Me (IRE)","Danehill Dancer (IRE)","04/07/2018","GB        ","Lupino (GB)","Bay","Colt","","","Racing Prospect","Taylor Made Sales Agency, Agent III ","15","1","1","","Keeneland",
"April 2021","0004","Acclamation (GB)","Mary's Precedent (FR)","Storming Home (GB)","05/03/2017","FR        ","Mary's France (FR)","Bay","Filly","Y","","Racing or Broodmare Prospect","ELiTE, Agent ","19","1","1","","Keeneland",
"April 2021","0005","Quality Road","Ben's Boots","Louis Quatorze","05/12/2017","KY        ","Maximiliano","Bay","Gelding","Y","","Racing Prospect","Hunter Valley Farm, Agent ","18","1","1","","Keeneland",
"April 2021","0006","Union Rags","Valued Strike","Smart Strike","04/01/2018","KY        ","Miracle Strike","Chestnut","Filly","","","Racing or Broodmare Prospect","Mill Ridge Sales, Agent ","18","1","1","","Keeneland",
"April 2021","0007","Speightstown","Aerocat","Tale of the Cat","02/21/2018","FL        ","Mishpocha","Chestnut","Filly","Y","","Racing or Broodmare Prospect","Buckland Sales (Zach Madden), Agent I ","18","1","1","","Keeneland",
"April 2021","0008","Flatter","Maxinkuckee Miss","Langfuhr","02/09/2017","KY        ","Mylastfirstkiss","Chestnut","Filly","Y","","Racing or Broodmare Prospect","Buckland Sales (Zach Madden), Agent III ","18","1","1","","Keeneland",
"April 2021","0009","Flintshire (GB)","Leavingiswinning","Unbridled's Song","04/10/2018","KY        ","Not Shy","Bay","Filly","Y","","Racing or Broodmare Prospect","Mill Ridge Sales, Agent ","18","1","1","","Keeneland",
"April 2021","0010","Will Take Charge","Garden District","Dixie Union","03/12/2019","KY        ","Offaly Fast","Dark Bay/Brown","Filly","","","Racing Prospect","Niall Collum, Agent ","5","1","1","","Keeneland",
"April 2021","0011","Tale of the Cat","One True Love (IRE)","Duke of Marmalade (IRE)","03/09/2018","KY        ","On Brilliant","Dark Bay/Brown","Filly","Y","","Racing or Broodmare Prospect","Taylor Made Sales Agency, Agent III ","15","1","1","","Keeneland",
"April 2021","0012","Malibu Moon","Samsational","Unbridled's Song","02/19/2018","KY        ","Pandia","Chestnut","Filly","","","Racing or Broodmare Prospect","Mill Ridge Sales, Agent ","18","1","1","Y","Keeneland",
"April 2021","0013","Pedro the Great","Palma Nova (GER)","Tiger Hill (IRE)","04/25/2016","FR        ","Proud Pedro (FR)","Bay","Horse","","","Racing or Stallion Prospect","ELiTE, Agent ","","1","1","Y","Santa Anita",
"April 2021","0014","Frosted","Precious Stone (IRE)","Galileo (IRE)","04/30/2018","GB        ","Pure Fashion (GB)","Gray/Roan","Filly","","","Racing or Broodmare Prospect","Taylor Made Sales Agency, Agent III ","15","1","1","","Keeneland",
"April 2021","0015","Elusive Quality","My Lucky Shoes","Unbridled's Song","03/31/2016","KY        ","Quality Step","Bay","Gelding","","","Racing Prospect","ELiTE, Agent ","19","1","1","Y","Keeneland",
"April 2021","0016","First Samurai","Saintly Sister","Saint Liam","04/25/2015","KY        ","Saintly Samurai","Dark Bay/Brown","Gelding","Y","","Racing Prospect","Stone Farm ","19","1","1","Y","Keeneland",
"April 2021","0017","Divining Rod","Easy Mover","Outflanker","03/18/2019","MD        ","Saratoga Karen","Dark Bay/Brown","Filly","","","Racing Prospect","Relentless Racing Inc. ","19","1","1","Y","Keeneland",
"April 2021","0018","Bernardini","Sarah Lynx (IRE)","Montjeu (IRE)","03/01/2017","KY        ","Scanno","Dark Bay/Brown","Ridgling","Y","","Racing Prospect","Taylor Made Sales Agency, Agent III ","15","1","1","","Keeneland",
"April 2021","0019","The Factor","Elusive Rumour","Elusive Quality","04/03/2017","NY        ","Scuttlebuzz","Gray/Roan","Gelding","","","Racing Prospect","Mill Ridge Sales, Agent ","18","1","1","Y","Keeneland",
"April 2021","0020","Into Mischief","Caxambas Pass","Tiznow","02/02/2018","KY        ","Secret Potion","Bay","Colt","Y","","Racing or Stallion Prospect","Lane's End, Agent ","15","1","1","","Keeneland",
"April 2021","0021","Camacho (GB)","Song of Time (IRE)","Kheleyf","03/05/2017","GER       ","Secret Time (GER)","Bay","Filly","Y","","Racing or Broodmare Prospect","ELiTE, Agent ","19","1","1","","Keeneland",
"April 2021","0022","Distorted Humor","Miss Paget (IRE)","Galileo (IRE)","04/23/2017","KY        ","Share My Moon","Dark Bay/Brown","Filly","Y","","Racing or Broodmare Prospect","Hunter Valley Farm, Agent ","18","1","1","Y","Keeneland",
"April 2021","0023","Bernardini","Smara","Storm Cat","04/23/2016","KY        ","Smart Time","Bay","Gelding","Y","","Racing Prospect","Taylor Made Sales Agency, Agent III ","15","1","1","","Keeneland",
"April 2021","0024","Medaglia d'Oro","Snow Fall","War Front","05/05/2018","KY        ","Sol Del Sur","Bay","Colt","Y","","Racing Prospect","Taylor Made Sales Agency, Agent III ","15","1","1","","Keeneland",
"April 2021","0025","Iffraaj (GB)","Floriade (IRE)","Invincible Spirit (IRE)","02/23/2018","IRE       ","Spotters Hill (IRE)","Bay","Colt","Y","","Racing or Stallion Prospect","WinStar Racing, Agent ","15","1","1","Y","Keeneland",
"April 2021","0026","Quality Road","Spring Storm","Unbridled's Song","05/01/2018","KY        ","Stainless Steel","Gray/Roan","Colt","Y","","Racing or Stallion Prospect","WinStar Racing, Agent ","15","1","1","Y","Keeneland",
"April 2021","0027","Runhappy","Sugar Reef","Tizway","04/16/2018","KY        ","Sugar Happy","Dark Bay/Brown","Filly","","","Racing or Broodmare Prospect","Mill Ridge Sales, Agent ","18","1","1","","Keeneland",
"April 2021","0028","Summer Front","Myself","Giant's Causeway","03/03/2017","NY        ","Summer At the Spa","Dark Bay/Brown","Filly","","","Racing or Broodmare Prospect","Mill Ridge Sales, Agent ","18","1","1","Y","Keeneland",
"April 2021","0029","English Channel","Lake Maracaibo","War Front","02/21/2017","KY        ","Swanage","Bay","Filly","Y","","Racing or Broodmare Prospect","Buckland Sales (Zach Madden), Agent I ","18","1","1","Y","Keeneland",
"April 2021","0030","Munnings","Gold Medalist","Medaglia d'Oro","02/26/2018","ON        ","Take a Chance","Bay","Colt","Y","","Racing or Stallion Prospect","Indian Creek, Agent ","19","1","1","","Keeneland",
"April 2021","0031","Declaration of War","Barometer","Point Given","07/25/2018","KY        ","The Greatest Eagle","Bay","Gelding","Y","","Racing Prospect","KatieRich Farms ","19","1","1","Y","Keeneland",
"April 2021","0032","Sea The Stars (IRE)","Sarbacane (GB)","Invincible Spirit (IRE)","03/25/2018","UK        ","The Right Stuff (GB)","Bay","Colt","Y","","Racing Prospect","Eaton Sales, Agent for Stonestreet Stables, LLC ","18","1","1","","Keeneland",
"April 2021","0033","Into Mischief","Dyna Waltz (GB)","Dynaformer","03/12/2018","KY        ","Timbrel","Bay","Filly","","","Racing or Broodmare Prospect","Mill Ridge Sales, Agent ","18","1","1","Y","Keeneland",
"April 2021","0034","Tapit","Dakota Wind","Tiznow","03/28/2018","LA        ","Unanimously","Dark Bay/Brown","Colt","Y","","Racing or Stallion Prospect","WinStar Racing, Agent ","15","1","1","Y","Keeneland",
"April 2021","0035","Laoban","One Look","Henny Hughes","05/02/2018","NY        ","Uno","Bay","Colt","Y","","Racing Prospect","ELiTE, Agent ","19","1","1","Y","Keeneland",
"April 2021","0036","Union Rags","Interest Free","Exchange Rate","03/08/2018","KY        ","Upcycle","Gray/Roan","Filly","","","Racing or Broodmare Prospect","Mill Ridge Sales, Agent ","18","1","1","","Keeneland",
"April 2021","0037","First Defence","Hachita","Gone West","03/01/2015","KY        ","Vanbrugh","Bay","Gelding","Y","","Racing Prospect","Hunter Valley Farm, Agent ","18","1","1","Y","Keeneland",
"April 2021","0038","Tourist","Wicked Temper","Tapit","02/18/2018","KY        ","Wentru","Dark Bay/Brown","Colt","Y","","Racing Prospect","Taylor Made Sales Agency, Agent III ","15","1","1","","Keeneland",
"April 2021","0039","Kantharos","Meets Expectations","Valid Expectations","02/24/2017","FL        ","Alfie Solomons","Chestnut","Gelding","Y","","Racing Prospect","Hunter Valley Farm, Agent ","18","1","1","Y","Keeneland",
"April 2021","0040","American Freedom","Grace Abounds","Stormy Atlantic","02/19/2019","KY        ","American Bound","Bay","Filly","","","Racing Prospect","Joe Sharp, Agent ","9","1","1","","Keeneland",
"April 2021","0041","Bernardini","Steely Magnolia","More Than Ready","03/28/2018","KY        ","A Thing of Beauty","Dark Bay/Brown","Filly","Y","","Racing or Broodmare Prospect","ELiTE, Agent ","19","1","1","","Keeneland",
"April 2021","0042","Cityscape (GB)","Sharja Princess (GB)","Invincible Spirit (IRE)","02/16/2017","FR        ","Avenue de France (FR)","Dark Bay/Brown","Filly","","","Racing or Broodmare Prospect","ELiTE, Agent ","","1","1","Y","Santa Anita",
"April 2021","0043","Union Rags","Crazy Party","A.P. Indy","03/03/2016","KY        ","Bacchanalia","Chestnut","Mare","Y","","Racing or Broodmare Prospect","ELiTE, Agent ","19","1","1","Y","Keeneland",
"April 2021","0044","American Pharoah","Saint Bernadette","Saint Ballado","05/09/2017","KY        ","Bernadette the Jet","Chestnut","Filly","Y","","Racing or Broodmare Prospect","Gainesway, Agent I ","18","1","1","Y","Keeneland",
"April 2021","0045","Temple City","Emerald Beech","Maria's Mon","02/04/2018","KY        ","Be Up","Bay","Filly","","","Racing or Broodmare Prospect","Mill Ridge Sales, Agent ","18","1","1","Y","Keeneland",
"April 2021","0046","Speightstown","Sharp Kitty","Kitten's Joy","03/08/2018","FL        ","Borkan","Chestnut","Colt","Y","","Racing Prospect","ELiTE, Agent ","19","1","1","","Keeneland",
"April 2021","0047","Uncle Mo","It's Tea Time","Dynaformer","04/27/2017","KY        ","Born Mean","Dark Bay/Brown","Filly","Y","","Racing or Broodmare Prospect","Gainesway, Agent I ","18","1","1","","Keeneland",
"April 2021","0048","Lemon Drop Kid","Mamasez","Giant's Causeway","02/22/2016","KY        ","Brooke Marie","Bay","Mare","Y","","Racing or Broodmare Prospect","ELiTE, Agent ","19","1","1","","Keeneland",
"April 2021","0049","Lea","Pun","Pulpit","02/20/2018","KY        ","Coworth Park","Bay","Filly","Y","","Racing or Broodmare Prospect","ELiTE, Agent ","","1","1","Y","Keeneland",
"April 2021","0050","Exaggerator","Go Go Dana","Malibu Moon","01/23/2018","KY        ","Crew Dragon","Chestnut","Colt","Y","","Racing or Stallion Prospect","Lane's End, Agent ","15","1","1","","Keeneland",
"April 2021","0051","War Front","Gold Medal Dancer","Medaglia d'Oro","01/29/2017","KY        ","Dance Recital","Bay","Filly","Y","","Racing or Broodmare Prospect","Indian Creek, Agent ","19","1","1","","Keeneland",
"April 2021","0052","El Padrino","Monette","Not For Love","03/24/2017","PA        ","Don't Call Me Mary","Chestnut","Filly","","","Racing Prospect","ELiTE, Agent ","19","1","1","","Keeneland",
"April 2021","0053","Zoffany (IRE)","Pandora's Box (IRE)","Galileo (IRE)","04/22/2018","IRE       ","Earnestine N Hazel (IRE)","Bay","Filly","Y","","Racing or Broodmare Prospect","ELiTE, Agent ","19","1","1","Y","Keeneland",
"April 2021","0054","Constitution","Ithinkisawapudycat","Bluegrass Cat","04/14/2017","KY        ","Established","Bay","Gelding","Y","","Racing Prospect","Michael Stidham, Agent ","2","1","1","","Keeneland",
"April 2021","0055","Temple City","No Matter What","Nureyev","05/28/2018","KY        ","Experienced","Dark Bay/Brown","Gelding","","","Racing Prospect","Mill Ridge Sales, Agent ","18","1","1","Y","Keeneland",
"April 2021","0056","Quality Road","Fashion's Flight","Dixie Union","02/10/2019","KY        ","","Bay","Colt","Y","","Racing Prospect","Claiborne Farm, Agent ","","1","1","","Harris Training Center",
"April 2021","0057","Medaglia d'Oro","Grand Mere","Bob and John","05/31/2018","KY        ","Finding Freedom","Bay","Colt","Y","","Racing or Stallion Prospect","Indian Creek, Agent ","19","1","1","Y","Keeneland",
"April 2021","0058","Noble Mission (GB)","South Bank","Tapit","02/05/2018","KY        ","Fingal","Gray/Roan","Colt","Y","","Racing or Stallion Prospect","WinStar Racing, Agent for Juddmonte Farms ","15","1","1","","Keeneland",
"April 2021","0059","Maclean's Music","Cheyenne Autumn","Indian Charlie","03/30/2016","KY        ","Firecrow","Bay","Gelding","Y","","Racing Prospect","ELiTE, Agent ","19","1","1","Y","Keeneland",
"April 2021","0060","Dunkerque (FR)","Pearling (GB)","Cape Cross (IRE)","03/09/2017","FR        ","Guitty (FR)","Dark Bay/Brown","Filly","","","Racing or Broodmare Prospect","ELiTE, Agent ","","1","1","Y","Santa Anita",
"April 2021","0061","Into Mischief","Miss Arrangement","Mr. Greeley","03/15/2018","KY        ","Holland","Bay","Colt","Y","","Racing or Stallion Prospect","WinStar Racing, Agent ","15","1","1","","Keeneland",
"April 2021","0062","Casamento (IRE)","Siphon Melody","Siphon (BRZ)","01/21/2016","IRE       ","Hotsy Totsy (IRE)","Bay","Mare","Y","","Racing or Broodmare Prospect","Taylor Made Sales Agency, Agent II ","15","1","1","","Keeneland",
"April 2021","0063","Candy Ride (ARG)","Dynamic Holiday","Harlan's Holiday","02/23/2018","KY        ","Hulda","Dark Bay/Brown","Filly","","","Racing or Broodmare Prospect","Mill Ridge Sales, Agent ","18","1","1","","Keeneland",
"April 2021","0064","Tonalist","Pick Me","Horse Chestnut (SAF)","04/14/2018","KY        ","I'll Make It Coach","Bay","Filly","Y","","Racing Prospect","KatieRich Farms ","19","1","1","","Keeneland",
"April 2021","0065","Runhappy","Sky America","Sky Mesa","03/20/2018","KY        ","Kinetic Sky","Bay","Colt","Y","","Racing Prospect","ELiTE, Agent ","19","1","1","Y","Keeneland",
"April 2021","0066","Quality Road","Under Serviced","Hook and Ladder","02/24/2017","FL        ","Kingpin","Bay","Gelding","Y","","Racing Prospect","Michael Stidham, Agent ","2","1","1","","Keeneland",
"April 2021","0067","More Than Ready","Secretariat's Soul (IRE)","Sadler's Wells","04/20/2017","KY        ","Ready Soul","Bay","Colt","Y","","Racing Prospect","Hunter Valley Farm, Agent ","18","1","1","","Keeneland",
"April 2021","0068","Uncle Mo","Not in Jest","Unbridled's Song","02/20/2018","KY        ","Rosenquist","Bay","Colt","Y","","Racing Prospect","ELiTE, Agent ","19","1","1","","Keeneland",
"April 2021","0069","Street Boss","Divina Luz (BRZ)","Wild Event","03/12/2018","KY        ","Divine Choice","Dark Bay/Brown","Filly","Y","","Racing or Broodmare Prospect","Taylor Made Sales Agency, Agent IV ","15","1","1","","Keeneland",
"April 2021","0070","Quality Road","Cake Baby","Stormy Atlantic","02/25/2017","KY        ","Too Sexy","Bay","Filly","Y","","Racing or Broodmare Prospect","ELiTE, Agent ","19","1","1","","Keeneland",
"April 2021","0071","Blame","Inventing Paradise","Mr. Prospector","02/20/2016","KY        ","Inventing Blame","Bay","Horse","Y","","Racing Prospect","Hunter Valley Farm, Agent ","18","1","1","","Keeneland",
"April 2021","0072","Empire Maker","More Chocolate","Malibu Moon","05/24/2018","KY        ","Persian Empire","Bay","Colt","Y","","Racing Prospect","ELiTE, Agent ","19","1","1","Y","Keeneland",
"April 2021","0073","Liam's Map","Hyperlink","Toccet","02/25/2018","OH        ","Fantoosh","Gray/Roan","Filly","Y","","Racing or Broodmare Prospect","Lane's End, Agent ","15","1","1","","Keeneland",
"April 2021","0074","Empire Maker","Surprises Welcomed","Storm Cat","05/17/2018","KY        ","Big Paper","Bay","Colt","","","Racing Prospect","James B. Keogh (Grovendale), Agent I ","15","1","1","","Keeneland",
"April 2021","0075","Into Mischief","Again","Unbridled's Song","02/18/2018","KY        ","Recidivist","Bay","Colt","Y","","Racing Prospect","ELiTE, Agent ","19","1","1","","Keeneland",
"April 2021","0076","Dialed In","Street Strut","Street Cry (IRE)","04/24/2018","KY        ","Struttinbuck","Bay","Colt","Y","","Racing Prospect","James B. Keogh (Grovendale), Agent I ","15","1","1","","Keeneland",
"April 2021","0077","Frosted","Tasha's Delight","Afternoon Deelites","03/06/2019","KY        ","Baytown Frosty","Gray/Roan","Colt","Y","","Racing Prospect","McEntee Racing ","49","1","1","","Keeneland",
"April 2021","0078","Gleneagles (IRE)","Caserta (GB)","Dansili (GB)","01/21/2018","IRE       ","Captivance (IRE)","Chestnut","Filly","Y","","Racing or Broodmare Prospect","Eaton Sales, Agent for Stonestreet Stables, LLC ","","1","1","Y","Stonestreet Training Center",
